Gender;Weight;Height;identifier;entry_dt
1;73,84701702;241,8935632;A001;20/1/2017
1;68,78190405;162,3104725;A002;20/1/2017
1;74,11010539;212,7408556;A003;20/1/2017
1;71,7309784;220,0424703;A004;20/1/2017
1;69,88179586;206,3498006;A005;20/1/2017
1;67,25301569;152,2121558;A006;20/1/2017
1;68,78508125;183,9278886;A007;20/1/2017
1;68,34851551;167,9711105;A008;20/1/2017
1;67,01894966;175,9294404;A009;20/1/2017
1;63,45649398;156,3996764;A010;20/1/2017
1;71,19538228;186,6049256;A011;20/1/2017
1;71,64080512;213,7411695;A012;20/1/2017
1;64,76632913;167,1274611;A013;20/1/2017
1;69,2830701;189,4461814;A014;20/1/2017
1;69,24373223;186,434168;A015;20/1/2017
1;67,6456197;172,1869301;A016;20/1/2017
1;72,41831663;196,0285063;A017;20/1/2017
1;63,97432572;172,8834702;A018;20/1/2017
1;69,6400599;185,9839576;A019;20/1/2017
1;;182,426648;A020;20/1/2017
1;67,91505019;174,1159291;A021;20/1/2017
1;69,43943987;197,7314216;A022;20/1/2017
1;66,14913196;149,173566;A023;20/1/2017
1;75,20597361;228,7617806;A024;20/1/2017
1;67,89319634;162,0066518;A025;20/1/2017
1;68,1440328;192,3439766;A026;20/1/2017
1;69,08963143;184,4351744;A027;20/1/2017
1;72,80084352;;A028;20/1/2017
1;67,42124228;175,2139224;A029;20/1/2017
1;68,49641536;154,3426389;A030;20/1/2017
1;68,61811055;187,5068432;A031;20/1/2017
1;74,03380762;212,9102253;A032;20/1/2017
1;71,52821604;195,0322432;A033;20/1/2017
1;69,1801611;205,1836213;A034;20/1/2017
1;69,57720237;204,1641255;A035;20/1/2017
1;70,40092889;192,9035151;A036;20/1/2017
1;69,07617117;197,4882426;A037;20/1/2017
1;67,19352328;183,8109732;A038;20/1/2017
1;65,80731565;163,8518249;A039;20/1/2017
1;64,30418789;163,1080171;A040;20/1/2017
1;67,97433623;172,1355974;A041;20/1/2017
1;72,18942596;194,0454049;A042;20/1/2017
1;65,27034552;168,6177462;A043;20/1/2017
1;66,09017738;161,1934326;A044;20/1/2017
1;67,51032152;164,6602773;A045;20/1/2017
1;70,10478626;188,9223032;A046;20/1/2017
1;68,25183644;187,0605522;A047;20/1/2017
1;72,17270912;209,0708634;A048;20/1/2017
1;69,17985762;192,0143354;A049;20/1/2017
1;72,87036015;211,3424968;A050;20/1/2017
1;64,78258298;165,6116262;A051;20/1/2017
1;70,18354989;201,0719181;A052;20/1/2017
1;68,49145025;173,4239603;A053;20/1/2017
1;67,33083088;181,4076793;A054;20/1/2017
1;66,99094408;169,7377074;A055;20/1/2017
1;66,4995499;163,3095283;A056;20/1/2017
1;68,35305665;189,7102099;A057;20/1/2017
1;70,77445907;192,1248473;A058;20/1/2017
1;71,21592367;198,1984641;A059;20/1/2017
1;70,01336535;209,5264998;A060;20/1/2017
1;71,40318222;198,7597927;A061;20/1/2017
1;69,55200509;198,0795237;A062;20/1/2017
1;73,81853456;195,2906122;A063;20/1/2017
1;66,99688275;164,943303;A064;20/1/2017
1;71,41846589;179,8639023;A065;20/1/2017
1;65,27930021;155,2504207;A066;20/1/2017
1;68,27419147;184,5193912;A067;20/1/2017
1;72,76536995;220,6780415;A068;20/1/2017
1;68,0993798;183,3126553;A069;20/1/2017
1;68,89670607;196,4513123;A070;20/1/2017
1;69,28950996;184,5956083;A071;20/1/2017
1;70,52322452;207,5328385;A072;20/1/2017
1;69,66372523;177,2009288;A073;20/1/2017
1;67,59526881;163,1080022;A074;20/1/2017
1;72,50812038;216,2182301;A075;20/1/2017
1;71,2529856;204,6554938;A076;20/1/2017
1;71,80918689;200,9205712;A077;20/1/2017
1;72,24516548;220,9017699;A078;20/1/2017
1;66,51262766;196,4498603;A079;20/1/2017
1;66,029034;168,64081;A080;20/1/2017
1;67,57715394;181,432713;A081;20/1/2017
1;68,2465686;198,6586733;A082;20/1/2017
1;73,826127;237,9167359;A083;20/1/2017
1;69,80246436;173,0412559;A084;20/1/2017
1;65,95957778;160,6839166;A085;20/1/2017
1;71,07901758;188,6029191;A086;20/1/2017
1;66,59619654;208,345694;A087;20/1/2017
1;68,95153509;193,4351185;A088;20/1/2017
1;68,24446179;174,1096938;A089;20/1/2017
1;72,31682512;197,3685892;A090;20/1/2017
1;71,81542045;201,6206667;A091;20/1/2017
1;65,23704952;181,0119732;A092;20/1/2017
1;70,64053009;182,122486;A093;20/1/2017
1;64,7319256;177,5492634;A094;20/1/2017
1;67,10355118;164,9745807;A095;20/1/2017
1;65,11748489;165,7171122;A096;20/1/2017
1;71,70123402;193,0941635;A097;20/1/2017
1;66,83287821;180,683887;A098;20/1/2017
1;66,47127526;172,7737229;A099;20/1/2017
1;69,41152622;177,4706162;A100;20/1/2017
1;70,05217747;200,8187373;A101;20/1/2017
1;66,74360465;167,7397753;A102;20/1/2017
1;66,27432912;154,3956248;A103;20/1/2017
1;68,32844799;177,9847286;A104;20/1/2017
1;70,0758882;183,938857;A105;20/1/2017
1;68,73298815;179,2047821;A106;20/1/2017
1;67,55605126;158,5679874;A107;20/1/2017
1;66,25363253;166,5035316;A108;20/1/2017
1;69,18220268;171,9836776;A109;20/1/2017
1;67,60910494;174,3641824;A110;20/1/2017
1;69,29273802;187,7453519;A111;20/1/2017
1;68,19068401;201,4879624;A112;20/1/2017
1;71,6070858;204,9270121;A113;20/1/2017
1;69,19685751;178,6855465;A114;20/1/2017
1;67,26196098;164,0144277;A115;20/1/2017
1;73,6851934;223,2700044;A116;20/1/2017
1;69,53721501;202,9583063;A117;20/1/2017
1;68,31155984;189,3917856;A118;20/1/2017
1;67,73896347;178,1705556;A119;20/1/2017
1;71,7057626;223,2993352;A120;20/1/2017
1;63,6322646;167,0287067;A121;20/1/2017
1;68,72119846;180,468682;A122;20/1/2017
1;66,94934165;164,4391456;A123;20/1/2017
1;62,70698974;149,9696184;A124;20/1/2017
1;72,25840892;192,9102666;A125;20/1/2017
1;70,90865306;201,8839987;A126;20/1/2017
1;67,6098436;179,868026;A127;20/1/2017
1;70,80155896;196,4677247;A128;20/1/2017
1;69,30476905;187,5516495;A129;20/1/2017
1;66,24289834;171,6931597;A130;20/1/2017
1;67,49219298;191,6996048;A131;20/1/2017
1;65,80624829;165,8506478;A132;20/1/2017
1;71,44370566;185,6627413;A133;20/1/2017
1;68,46440582;178,2818007;A134;20/1/2017
1;63,9879246;150,9790513;A135;20/1/2017
1;71,00189769;209,9293234;A136;20/1/2017
1;68,13972419;174,1578043;A137;20/1/2017
1;68,39540025;179,8789771;A138;20/1/2017
1;68,09621975;167,7471412;A139;20/1/2017
1;68,14059036;183,0446604;A140;20/1/2017
1;68,86009031;169,5568208;A141;20/1/2017
1;66,14885254;173,4316727;A142;20/1/2017
1;66,20603205;180,8895546;A143;20/1/2017
1;67,43212021;183,5089329;A144;20/1/2017
1;69,47110603;205,9779102;A145;20/1/2017
1;70,51585969;183,7598452;A146;20/1/2017
1;71,33837604;201,9544955;A147;20/1/2017
1;71,00194477;216,1200947;A148;20/1/2017
1;66,20234771;159,3903237;A149;20/1/2017
1;72,54330705;210,3364247;A150;20/1/2017
1;67,47935176;178,6183502;A151;20/1/2017
1;65,35041056;146,7397976;A152;20/1/2017
1;70,84406242;195,937015;A153;20/1/2017
1;69,93847526;170,1758538;A154;20/1/2017
1;64,73981548;169,6540541;A155;20/1/2017
1;69,30840288;198,3786936;A156;20/1/2017
1;68,83846286;179,9077169;A157;20/1/2017
1;61,93732327;147,2636865;A158;20/1/2017
1;68,59333554;176,9842511;A159;20/1/2017
1;65,21857558;185,4677884;A160;20/1/2017
1;64,33364811;177,4938023;A161;20/1/2017
1;68,7489067;169,8274774;A162;20/1/2017
1;72,4896554;198,5816982;A163;20/1/2017
1;67,23393092;203,3503393;A164;20/1/2017
1;67,26360484;193,2176727;A165;20/1/2017
1;65,11850428;178,1349452;A166;20/1/2017
1;66,26282004;162,7795834;A167;20/1/2017
1;67,70167966;159,2865106;A168;20/1/2017
1;65,53069597;172,114312;A169;20/1/2017
1;69,86896981;201,8370426;A170;20/1/2017
1;68,48187536;170,3523296;A171;20/1/2017
1;72,21396335;205,3897607;A172;20/1/2017
1;68,17953269;169,7877681;A173;20/1/2017
1;71,98120654;200,4373105;A174;20/1/2017
1;66,06513673;178,588954;A175;20/1/2017
1;66,65616417;168,0140297;A176;20/1/2017
1;67,5994242;177,7664258;A177;20/1/2017
1;68,24594409;193,277624;A178;20/1/2017
1;64,80862144;162,3795406;A179;20/1/2017
1;67,49221827;183,3838244;A180;20/1/2017
1;68,18073071;181,0560953;A181;20/1/2017
1;69,5533849;210,871799;A182;20/1/2017
1;66,40224967;165,5684991;A183;20/1/2017
1;66,59215711;196,1484498;A184;20/1/2017
1;71,93588658;202,0464252;A185;20/1/2017
1;68,28704173;170,4136025;A186;20/1/2017
1;69,9554512;201,9480853;A187;20/1/2017
1;71,85112915;193,3869846;A188;20/1/2017
1;65,75549864;179,8556896;A189;20/1/2017
1;67,03185208;156,489935;A190;20/1/2017
1;76,70983486;235,0354188;A191;20/1/2017
1;72,57112137;230,560535;A192;20/1/2017
1;69,7288049;203,895655;A193;20/1/2017
1;72,799224;218,2163966;A194;20/1/2017
1;72,53935407;222,6671779;A195;20/1/2017
1;72,29474338;208,4748659;A196;20/1/2017
1;67,25332482;180,77978;A197;20/1/2017
1;75,94446038;231,9247485;A198;20/1/2017
1;66,31623192;170,5938581;A199;20/1/2017
1;71,15605349;188,2714563;A200;20/1/2017
1;71,19220229;196,0615292;A201;20/1/2017
1;72,19751201;214,6035842;A202;20/1/2017
1;75,14082143;224,1242713;A203;20/1/2017
1;64,41152936;158,5793973;A204;20/1/2017
1;64,73442436;166,5011147;A205;20/1/2017
1;63,41458714;160,1406156;A206;20/1/2017
1;67,84866523;176,1726343;A207;20/1/2017
1;65,93178483;174,4852947;A208;20/1/2017
1;70,96655044;193,9064988;A209;20/1/2017
1;67,58074728;186,9916067;A210;20/1/2017
1;68,58927044;173,5957961;A211;20/1/2017
1;70,32475344;193,3465603;A212;20/1/2017
1;72,39448041;208,436509;A213;20/1/2017
1;70,82085671;206,0329778;A214;20/1/2017
1;65,90330126;172,575231;A215;20/1/2017
1;74,79537502;232,6354028;A216;20/1/2017
1;67,68091903;177,2401455;A217;20/1/2017
1;67,15596277;175,6466902;A218;20/1/2017
1;71,77484122;212,6261023;A219;20/1/2017
1;64,66523194;166,969204;A220;20/1/2017
1;68,12276836;196,4144153;A221;20/1/2017
1;66,78692724;165,4312422;A222;20/1/2017
1;66,80584984;176,5658186;A223;20/1/2017
1;67,8860138;174,6520347;A224;20/1/2017
1;69,17357692;195,2375293;A225;20/1/2017
1;70,22492333;205,6844384;A226;20/1/2017
1;64,85579918;158,3414424;A227;20/1/2017
1;67,82109327;169,0810083;A228;20/1/2017
1;63,44024747;135,6558759;A229;20/1/2017
1;71,84843485;218,1574695;A230;20/1/2017
1;66,72807365;155,8995413;A231;20/1/2017
1;71,96830565;201,5281774;A232;20/1/2017
1;76,02134748;235,9260606;A233;20/1/2017
1;71,47610128;195,3926176;A234;20/1/2017
1;67,36980864;176,6361636;A235;20/1/2017
1;70,55524376;198,4602486;A236;20/1/2017
1;69,86710128;185,71691;A237;20/1/2017
1;67,94757004;177,3477798;A238;20/1/2017
1;74,10455886;215,7597035;A239;20/1/2017
1;69,1678363;187,0224203;A240;20/1/2017
1;66,55722857;171,5878843;A241;20/1/2017
1;66,70160499;172,8398091;A242;20/1/2017
1;67,24606495;168,2802869;A243;20/1/2017
1;69,05138548;163,8204889;A244;20/1/2017
1;70,67274718;190,0234342;A245;20/1/2017
1;65,49899512;156,8699517;A246;20/1/2017
1;65,18722085;172,6064826;A247;20/1/2017
1;67,56814301;169,063983;A248;20/1/2017
1;73,81538569;231,3745081;A249;20/1/2017
1;71,60656421;207,2504768;A250;20/1/2017
1;67,72474924;172,1527722;A251;20/1/2017
1;68,23113195;199,827758;A252;20/1/2017
1;65,92942171;168,0904122;A253;20/1/2017
1;71,54849571;197,8196148;A254;20/1/2017
1;69,16438112;196,892315;A255;20/1/2017
1;68,59765932;180,2217801;A256;20/1/2017
1;71,05751089;189,1340124;A257;20/1/2017
1;63,64405958;158,4227173;A258;20/1/2017
1;71,1824554;208,9226827;A259;20/1/2017
1;66,12867317;187,1411195;A260;20/1/2017
1;65,05737312;157,5824315;A261;20/1/2017
1;68,09137436;181,644445;A262;20/1/2017
1;70,9931439;204,7466782;A263;20/1/2017
1;74,22117488;231,1301898;A264;20/1/2017
1;69,32711818;186,2584296;A265;20/1/2017
1;64,93134219;181,0938696;A266;20/1/2017
1;68,34684231;198,9209797;A267;20/1/2017
1;70,92912508;203,3704632;A268;20/1/2017
1;61,4778092;161,0287521;A269;20/1/2017
1;68,49081272;189,8066818;A270;20/1/2017
1;72,04988987;200,2028285;A271;20/1/2017
1;72,52166703;221,8626503;A272;20/1/2017
1;71,23391139;214,0601482;A273;20/1/2017
1;72,25911519;201,7014216;A274;20/1/2017
1;67,5650399;187,1870936;A275;20/1/2017
1;72,26760699;196,5274669;A276;20/1/2017
1;62,600248;151,7207037;A277;20/1/2017
1;66,23643729;167,2975303;A278;20/1/2017
1;69,65043741;198,843696;A279;20/1/2017
1;69,28592141;178,789548;A280;20/1/2017
1;70,72527874;193,5392521;A281;20/1/2017
1;68,82861496;197,737905;A282;20/1/2017
1;66,01442823;184,4618115;A283;20/1/2017
1;66,41488206;155,1947717;A284;20/1/2017
1;66,61562439;160,9919899;A285;20/1/2017
1;68,03482178;189,0844617;A286;20/1/2017
1;70,50239804;172,9857771;A287;20/1/2017
1;69,15772949;195,8952569;A288;20/1/2017
1;70,79502261;215,7464553;A289;20/1/2017
1;65,19437712;166,7073731;A290;20/1/2017
1;74,78571432;239,4643429;A291;20/1/2017
1;71,06690628;184,2792458;A292;20/1/2017
1;69,33419779;199,9838909;A293;20/1/2017
1;69,89920395;191,4122311;A294;20/1/2017
1;64,42519379;169,1094014;A295;20/1/2017
1;67,8521307;194,7445225;A296;20/1/2017
1;67,54906949;183,2665331;A297;20/1/2017
1;74,76744684;210,3699087;A298;20/1/2017
1;71,41894599;198,0424839;A299;20/1/2017
1;67,12034439;172,6640904;A300;20/1/2017
1;69,85958791;197,0708562;A301;20/1/2017
1;68,43081339;190,50581;A302;20/1/2017
1;67,93348261;184,5554831;A303;20/1/2017
1;68,49534316;179,9298166;A304;20/1/2017
1;65,24414341;159,5032198;A305;20/1/2017
1;70,18535205;197,8845071;A306;20/1/2017
1;71,10413316;217,2696052;A307;20/1/2017
1;68,44757854;187,907426;A308;20/1/2017
1;65,42057682;176,8616842;A309;20/1/2017
1;67,70078811;185,1482021;A310;20/1/2017
1;74,22306306;223,3080403;A311;20/1/2017
1;71,16724587;206,9429818;A312;20/1/2017
1;67,23077189;171,0169406;A313;20/1/2017
1;67,88055919;175,222848;A314;20/1/2017
1;67,37637547;173,3103956;A315;20/1/2017
1;68,76124693;181,1259735;A316;20/1/2017
1;71,7052725;202,6090083;A317;20/1/2017
1;69,38099479;199,85092;A318;20/1/2017
1;73,71652763;223,5147223;A319;20/1/2017
1;69,45337621;219,2617067;A320;20/1/2017
1;70,78628981;211,2160809;A321;20/1/2017
1;71,76846374;200,798983;A322;20/1/2017
1;69,34345396;208,8097753;A323;20/1/2017
1;65,28602551;161,4200817;A324;20/1/2017
1;70,92184441;207,8359446;A325;20/1/2017
1;68,59666269;180,8312378;A326;20/1/2017
1;68,60379643;176,8154762;A327;20/1/2017
1;69,47874412;194,6037685;A328;20/1/2017
1;65,93089621;163,0084317;A329;20/1/2017
1;68,5233453;173,2706572;A330;20/1/2017
1;73,92912413;215,6200354;A331;20/1/2017
1;71,19793782;210,134529;A332;20/1/2017
1;66,55658687;185,0423241;A333;20/1/2017
1;71,74227623;187,9653554;A334;20/1/2017
1;69,74482933;188,1811248;A335;20/1/2017
1;66,75065413;179,5420171;A336;20/1/2017
1;69,69242226;211,718429;A337;20/1/2017
1;70,40351683;197,6921421;A338;20/1/2017
1;69,01973611;186,287992;A339;20/1/2017
1;64,73228716;166,1060724;A340;20/1/2017
1;70,99807444;188,81177;A341;20/1/2017
1;64,45981425;161,3787732;A342;20/1/2017
1;69,74952258;193,4762588;A343;20/1/2017
1;71,52684881;189,2822461;A344;20/1/2017
1;68,32791586;207,7849246;A345;20/1/2017
1;70,76472016;199,3230943;A346;20/1/2017
1;71,41904963;209,8582566;A347;20/1/2017
1;69,39047409;180,1754728;A348;20/1/2017
1;72,00173222;196,2144145;A349;20/1/2017
1;69,19147497;189,4388404;A350;20/1/2017
1;66,16636328;165,5146074;A351;20/1/2017
1;67,272143;182,3943347;A352;20/1/2017
1;70,9158354;189,5576375;A353;20/1/2017
1;69,11988779;189,6259141;A354;20/1/2017
1;67,40902587;170,1913254;A355;20/1/2017
1;72,93864904;216,0974547;A356;20/1/2017
1;70,4909287;177,0677744;A357;20/1/2017
1;69,00825946;196,0511888;A358;20/1/2017
1;66,76210992;167,7004962;A359;20/1/2017
1;69,12066373;179,6078701;A360;20/1/2017
1;73,12626719;220,6614051;A361;20/1/2017
1;67,4868239;164,2952413;A362;20/1/2017
1;64,95507833;156,5447863;A363;20/1/2017
1;67,78248907;183,681029;A364;20/1/2017
1;67,6623988;170,3054935;A365;20/1/2017
1;66,47639701;168,6272639;A366;20/1/2017
1;72,9870702;209,6379745;A367;20/1/2017
1;69,56323228;195,346027;A368;20/1/2017
1;71,00356014;194,3226014;A369;20/1/2017
1;69,91563736;219,3679167;A370;20/1/2017
1;71,69714179;205,1617483;A371;20/1/2017
1;67,64994086;178,8826337;A372;20/1/2017
1;68,29555456;181,7249315;A373;20/1/2017
1;68,68725567;203,5603338;A374;20/1/2017
1;68,91577165;165,1558987;A375;20/1/2017
1;68,96087967;197,9314296;A376;20/1/2017
1;67,2472352;173,284033;A377;20/1/2017
1;68,91586364;183,9477889;A378;20/1/2017
1;65,8385445;139,5340469;A379;20/1/2017
1;64,67107555;160,1885313;A380;20/1/2017
1;66,29589772;163,6040022;A381;20/1/2017
1;67,09758575;193,9551074;A382;20/1/2017
1;66,99828973;189,8933425;A383;20/1/2017
1;70,9619709;184,223932;A384;20/1/2017
1;68,4208722;190,7955422;A385;20/1/2017
1;67,65252759;188,2006794;A386;20/1/2017
1;75,62019316;226,2077799;A387;20/1/2017
1;70,54924202;197,8793731;A388;20/1/2017
1;68,89083891;190,5134869;A389;20/1/2017
1;68,28453192;176,2465834;A390;20/1/2017
1;64,99507826;177,7270945;A391;20/1/2017
1;65,57577154;173,6915922;A392;20/1/2017
1;69,30608824;210,4636875;A393;20/1/2017
1;65,70471542;170,1005633;A394;20/1/2017
1;67,80399101;173,4598918;A395;20/1/2017
1;69,21614731;184,9366903;A396;20/1/2017
1;68,01500601;194,2869459;A397;20/1/2017
1;61,92694894;149,1496848;A398;20/1/2017
1;67,26636272;192,4707696;A399;20/1/2017
1;67,67682185;179,750808;A400;20/1/2017
1;69,97090362;202,863293;A401;20/1/2017
1;65,31346154;163,3573315;A402;20/1/2017
1;71,90600544;217,0277146;A403;20/1/2017
1;66,23390404;183,1612325;A404;20/1/2017
1;65,81494282;166,5836105;A405;20/1/2017
1;72,84494786;205,2508892;A406;20/1/2017
1;70,94944345;189,7030888;A407;20/1/2017
1;71,34380763;218,5863364;A408;20/1/2017
1;71,05566416;203,139433;A409;20/1/2017
1;61,92554729;139,9050703;A410;20/1/2017
1;68,76245756;196,2938059;A411;20/1/2017
1;67,58394143;179,9370112;A412;20/1/2017
1;67,36169467;164,1459224;A413;20/1/2017
1;65,87915656;168,1748644;A414;20/1/2017
1;68,69476215;189,7425419;A415;20/1/2017
1;69,53486155;195,1703915;A416;20/1/2017
1;66,63469083;190,4679588;A417;20/1/2017
1;69,80990157;204,4265983;A418;20/1/2017
1;68,67987369;196,1516228;A419;20/1/2017
1;71,61517875;209,6707739;A420;20/1/2017
1;69,68979533;190,9334005;A421;20/1/2017
1;70,90108637;197,9448324;A422;20/1/2017
1;68,00581399;186,7803378;A423;20/1/2017
1;70,61574398;188,6638321;A424;20/1/2017
1;71,57119416;176,3766428;A425;20/1/2017
1;73,01286326;209,3294834;A426;20/1/2017
1;60,74811787;136,1678657;A427;20/1/2017
1;69,08211963;190,9351825;A428;20/1/2017
1;69,33873763;191,4456543;A429;20/1/2017
1;67,75713771;184,9382299;A430;20/1/2017
1;76,02708186;232,313471;A431;20/1/2017
1;72,22761616;201,778854;A432;20/1/2017
1;68,92104135;188,3288071;A433;20/1/2017
1;65,33492768;174,6556973;A434;20/1/2017
1;65,93240345;183,9433388;A435;20/1/2017
1;70,46668931;187,517442;A436;20/1/2017
1;73,18104362;213,8474529;A437;20/1/2017
1;68,55087969;175,2195188;A438;20/1/2017
1;68,52940825;169,5448054;A439;20/1/2017
1;63,59645542;144,5919224;A440;20/1/2017
1;67,14424123;175,6791902;A441;20/1/2017
1;70,81637062;197,1984016;A442;20/1/2017
1;73,53028481;222,9259167;A443;20/1/2017
1;66,14106892;165,4045453;A444;20/1/2017
1;67,90684975;170,4172312;A445;20/1/2017
1;71,43337582;216,6339997;A446;20/1/2017
1;67,1126798;173,7075042;A447;20/1/2017
1;73,28391797;217,8960397;A448;20/1/2017
1;63,67258315;161,0131458;A449;20/1/2017
1;69,2253203;193,7563258;A450;20/1/2017
1;69,67012402;177,1191607;A451;20/1/2017
1;70,48544817;204,8274497;A452;20/1/2017
1;69,00467787;176,7318925;A453;20/1/2017
1;68,45789401;192,7618857;A454;20/1/2017
