Gender,Weight,Height,identifier,entry_dt
0,61.10420513,133.1840998,A5271,20/1/2017
0,62.50136418,128.581092,A5272,20/1/2017
0,63.9867085,146.2658148,A5273,20/1/2017
0,65.50272429,150.3009502,A5274,20/1/2017
0,61.46870338,128.7429729,A5275,20/1/2017
0,63.30608624,128.7296883,A5276,20/1/2017
0,63.01236239,128.1488129,A5277,20/1/2017
0,66.66828573,145.3460937,A5278,20/1/2017
0,59.52878826,114.7521017,A5279,20/1/2017
0,58.98713894,100.743008,A5280,20/1/2017
0,63.96594219,130.6118695,A5281,20/1/2017
0,61.65992175,104.3424698,A5282,20/1/2017
0,65.87502066,146.9627167,A5283,20/1/2017
0,70.43546305,163.2180616,A5284,20/1/2017
0,62.64504174,117.4606364,A5285,20/1/2017
0,62.96592183,130.0245322,A5286,20/1/2017
0,63.92177623,135.6659904,A5287,20/1/2017
0,67.40852785,157.8533245,A5288,20/1/2017
0,64.07247319,153.4650394,A5289,20/1/2017
0,60.85962004,112.0907533,A5290,20/1/2017
0,62.51740907,128.6610478,A5291,20/1/2017
0,63.59937264,130.048575,A5292,20/1/2017
0,60.96991273,115.2281659,A5293,20/1/2017
0,63.18686489,132.9770674,A5294,20/1/2017
0,67.15119145,166.5201188,A5295,20/1/2017
0,60.80771209,117.1835316,A5296,20/1/2017
0,65.56472076,155.2560443,A5297,20/1/2017
0,68.58419476,165.8078729,A5298,20/1/2017
0,66.98698013,155.3302344,A5299,20/1/2017
0,59.30400667,124.6679399,A5300,20/1/2017
0,57.39774037,106.5875627,A5301,20/1/2017
0,63.30000561,121.948217,A5302,20/1/2017
0,63.93043498,134.4091595,A5303,20/1/2017
0,66.39487563,162.3033988,A5304,20/1/2017
0,65.37997421,142.8751415,A5305,20/1/2017
0,61.45864498,109.2083314,A5306,20/1/2017
0,62.07039642,119.2989868,A5307,20/1/2017
0,60.91177092,131.7108128,A5308,20/1/2017
0,67.04197172,139.993374,A5309,20/1/2017
0,58.44507284,90.40667477,A5310,20/1/2017
0,62.22450202,133.8752379,A5311,20/1/2017
0,60.71778284,120.569576,A5312,20/1/2017
0,63.56876019,154.1454119,A5313,20/1/2017
0,62.19169744,112.9354609,A5314,20/1/2017
0,59.77645519,120.7436378,A5315,20/1/2017
0,61.62734724,123.6372253,A5316,20/1/2017
0,62.42696121,127.616506,A5317,20/1/2017
0,60.24335877,131.6611102,A5318,20/1/2017
0,61.09968452,117.1967838,A5319,20/1/2017
0,63.80355837,146.0697891,A5320,20/1/2017
0,60.12149408,110.2773991,A5321,20/1/2017
0,62.15153903,117.6226431,A5322,20/1/2017
0,60.84550828,107.4460544,A5323,20/1/2017
0,60.81492666,110.1412146,A5324,20/1/2017
0,66.64069197,133.0069435,A5325,20/1/2017
0,63.9734479,149.4089927,A5326,20/1/2017
0,62.11035132,136.8708553,A5327,20/1/2017
0,64.62329203,134.6110153,A5328,20/1/2017
0,65.23591282,128.446415,A5329,20/1/2017
0,62.9747851,137.4745698,A5330,20/1/2017
0,64.72079374,143.8408398,A5331,20/1/2017
0,61.99110332,124.2630529,A5332,20/1/2017
0,63.03448673,125.4670161,A5333,20/1/2017
0,61.72207869,107.2247071,A5334,20/1/2017
0,66.23547229,149.4134676,A5335,20/1/2017
0,64.94853593,155.1331864,A5336,20/1/2017
0,68.0047072,142.2892548,A5337,20/1/2017
0,63.56499447,134.1113743,A5338,20/1/2017
0,65.90474446,126.2770399,A5339,20/1/2017
0,61.58267021,127.6865153,A5340,20/1/2017
0,60.85088181,108.9458371,A5341,20/1/2017
0,61.47093776,114.6742794,A5342,20/1/2017
0,63.23651754,132.1754949,A5343,20/1/2017
0,67.94539137,162.1639747,A5344,20/1/2017
0,64.36352039,155.5734994,A5345,20/1/2017
0,55.33649241,88.36658258,A5346,20/1/2017
0,61.58719643,117.4781494,A5347,20/1/2017
0,67.09858325,160.6933299,A5348,20/1/2017
0,66.47084598,161.374933,A5349,20/1/2017
0,65.04972037,128.0390861,A5350,20/1/2017
0,61.17798324,121.3270625,A5351,20/1/2017
0,65.94265808,157.0229869,A5352,20/1/2017
0,62.19602038,124.1572891,A5353,20/1/2017
0,66.93512914,154.9473051,A5354,20/1/2017
0,61.43239994,127.84452,A5355,20/1/2017
0,62.99606997,141.0720783,A5356,20/1/2017
0,62.73209196,126.3737849,A5357,20/1/2017
0,62.16490439,119.304213,A5358,20/1/2017
0,62.92547551,120.1924316,A5359,20/1/2017
0,62.4557193,138.3607652,A5360,20/1/2017
0,55.66820212,68.98253009,A5361,20/1/2017
0,60.96014679,124.8767957,A5362,20/1/2017
0,65.47109105,144.3791218,A5363,20/1/2017
0,60.89292556,134.7135552,A5364,20/1/2017
0,59.80509278,102.1472298,A5365,20/1/2017
0,64.44349555,151.5239473,A5366,20/1/2017
0,69.00783124,159.0868708,A5367,20/1/2017
0,66.65463638,156.7642919,A5368,20/1/2017
0,64.32831721,134.744705,A5369,20/1/2017
0,63.78503821,152.5591964,A5370,20/1/2017
0,66.55609731,154.3934174,A5371,20/1/2017
0,65.56744525,166.9598257,A5372,20/1/2017
0,67.80378945,162.509491,A5373,20/1/2017
0,68.31711986,150.5332006,A5374,20/1/2017
0,67.46060493,165.8669352,A5375,20/1/2017
0,61.45527924,101.8011046,A5376,20/1/2017
0,59.97372202,111.2242901,A5377,20/1/2017
0,62.78673268,107.6958535,A5378,20/1/2017
0,62.07120211,122.6337939,A5379,20/1/2017
0,57.88297788,110.7259721,A5380,20/1/2017
0,59.23919876,111.1812361,A5381,20/1/2017
0,60.84834324,114.9499973,A5382,20/1/2017
0,59.76340044,112.741362,A5383,20/1/2017
0,63.68469752,134.2638812,A5384,20/1/2017
0,62.63592683,119.7891601,A5385,20/1/2017
0,65.12522054,141.5972182,A5386,20/1/2017
0,57.86970441,93.53375287,A5387,20/1/2017
0,69.90946195,162.4654324,A5388,20/1/2017
0,62.86162792,135.5205356,A5389,20/1/2017
0,59.6319099,109.2816387,A5390,20/1/2017
0,64.3254058,156.8005036,A5391,20/1/2017
0,62.77453234,144.9062074,A5392,20/1/2017
0,63.64204534,118.1867179,A5393,20/1/2017
0,69.8258261,171.4863651,A5394,20/1/2017
0,60.16251035,94.23233057,A5395,20/1/2017
0,62.28511401,132.0914991,A5396,20/1/2017
0,64.32849119,135.8190938,A5397,20/1/2017
0,62.51823372,129.2795678,A5398,20/1/2017
0,62.89283084,131.1304466,A5399,20/1/2017
0,62.39615363,127.0327481,A5400,20/1/2017
0,60.12116748,113.4069667,A5401,20/1/2017
0,62.09109128,123.6979033,A5402,20/1/2017
0,64.25565424,142.5034552,A5403,20/1/2017
0,66.3513659,131.2779903,A5404,20/1/2017
0,64.74465538,125.7758123,A5405,20/1/2017
0,64.40449179,142.1613962,A5406,20/1/2017
0,69.32174539,157.161889,A5407,20/1/2017
0,61.8635413,127.0189662,A5408,20/1/2017
0,64.56048838,134.1981533,A5409,20/1/2017
0,66.82440769,165.9662314,A5410,20/1/2017
0,64.785806,147.1909351,A5411,20/1/2017
0,63.73111285,135.5985922,A5412,20/1/2017
0,66.32392245,153.2200429,A5413,20/1/2017
0,66.25724652,142.7152937,A5414,20/1/2017
0,61.70557579,126.7872994,A5415,20/1/2017
0,64.68759119,124.7284872,A5416,20/1/2017
0,69.79498703,182.4511682,A5417,20/1/2017
0,61.16192129,119.0401618,A5418,20/1/2017
0,63.37101299,139.2999346,A5419,20/1/2017
0,66.41886544,134.244935,A5420,20/1/2017
0,64.64261274,128.6062541,A5421,20/1/2017
0,63.2913018,126.4099912,A5422,20/1/2017
0,61.82450712,133.692684,A5423,20/1/2017
0,67.03246648,179.727325,A5424,20/1/2017
0,59.33510789,120.8198701,A5425,20/1/2017
0,61.2369878,114.1607464,A5426,20/1/2017
0,57.92315936,100.5400428,A5427,20/1/2017
0,63.40608492,129.3722124,A5428,20/1/2017
0,64.42841794,142.2058607,A5429,20/1/2017
0,65.23632185,143.9393476,A5430,20/1/2017
0,66.53500864,147.5019138,A5431,20/1/2017
0,65.74773144,145.5762484,A5432,20/1/2017
0,63.73173268,114.2697496,A5433,20/1/2017
0,61.57977657,117.9036349,A5434,20/1/2017
0,59.25272547,139.1408123,A5435,20/1/2017
0,61.45626213,117.0287168,A5436,20/1/2017
0,62.61186934,134.765899,A5437,20/1/2017
0,68.75963603,153.6897385,A5438,20/1/2017
0,64.59743454,144.3303201,A5439,20/1/2017
0,60.60301012,100.0015907,A5440,20/1/2017
0,64.65793999,134.4447848,A5441,20/1/2017
0,62.45381561,132.6973172,A5442,20/1/2017
0,62.40533613,116.6023065,A5443,20/1/2017
0,64.78555122,148.4311769,A5444,20/1/2017
0,65.08774425,148.2643047,A5445,20/1/2017
0,62.07752295,128.4930242,A5446,20/1/2017
0,66.46518404,160.0838642,A5447,20/1/2017
0,62.54787795,125.5980263,A5448,20/1/2017
0,65.97857729,141.1139305,A5449,20/1/2017
0,60.88968151,116.5674876,A5450,20/1/2017
0,62.75099671,120.5451529,A5451,20/1/2017
0,63.73556045,142.4912037,A5452,20/1/2017
0,63.19920307,125.4672539,A5453,20/1/2017
0,62.14866931,131.1141265,A5454,20/1/2017
0,63.97147267,150.3774047,A5455,20/1/2017
0,61.47211056,118.9181143,A5456,20/1/2017
0,64.94854695,141.6897454,A5457,20/1/2017
0,62.11217359,118.9793262,A5458,20/1/2017
0,63.91051577,140.7309516,A5459,20/1/2017
0,65.24107228,150.2299015,A5460,20/1/2017
0,64.31786393,114.0650083,A5461,20/1/2017
0,65.03760715,140.1901888,A5462,20/1/2017
0,57.31302352,93.8764374,A5463,20/1/2017
0,63.21573488,127.0051589,A5464,20/1/2017
0,66.89273656,161.0989821,A5465,20/1/2017
0,63.97392467,133.4595026,A5466,20/1/2017
0,60.54177962,118.3763761,A5467,20/1/2017
0,65.26311424,138.0749014,A5468,20/1/2017
0,63.45805372,133.5752576,A5469,20/1/2017
0,65.05338257,150.1064936,A5470,20/1/2017
0,63.22190719,140.2728344,A5471,20/1/2017
0,65.65295091,151.182098,A5472,20/1/2017
0,60.55212552,113.2323362,A5473,20/1/2017
0,60.58582038,112.599494,A5474,20/1/2017
0,66.67436003,132.0042801,A5475,20/1/2017
0,63.20656148,129.9541402,A5476,20/1/2017
0,68.30676314,166.781195,A5477,20/1/2017
0,63.58027647,135.7802137,A5478,20/1/2017
0,60.91802524,119.772634,A5479,20/1/2017
0,61.29236298,118.330547,A5480,20/1/2017
0,64.82909933,154.8565691,A5481,20/1/2017
0,63.26397712,139.0711443,A5482,20/1/2017
0,64.30821149,140.879463,A5483,20/1/2017
0,62.5871157,153.5743484,A5484,20/1/2017
0,67.31091935,160.3957899,A5485,20/1/2017
